,English Paragraph,Chinese Paragraph
87,"A USD, A2 USD, A2 EUR, A2 HKD, A2 SGD, AT USD, AT EUR, AT 
HKD, AT SGD, AA USD, AA HKD, AT AUD H, AT CAD H, AT EUR H, 
AT GBP H, AT NZD H, AT SGD H, AA AUD H, AA CAD H, AA EUR H, 
AA GBP H, AA NZD H, AA RMB H, AA SGD H 
AX USD, AX EUR, A2X USD, A2X EUR  
BX USD, BX EUR  
C USD, C2 USD, C2 EUR 
CX USD   
I USD, I EUR, I2 USD, I2 EUR 
IX USD, I2X USD ","A 類美元、A2 類美元、A2 類歐元、A2 類港元、 A2 類新加坡元、 AT 類
美元、AT 類歐元、AT 類港元、  AT 類新加坡元、AA 類美元、AA 類港
元、 AT 類 H 澳元、 AT 類 H 加元、 AT 類 H 歐元、AT 類 H 英鎊、 AT 類
H 紐西蘭元、AT 類 H 新加坡元、AA 類 H 澳元、 AA 類 H 加元、 AA 類 H
歐元、  AA 類 H 英鎊、AA 類 H 紐西蘭元、AA 類 H 人民幣、  AA 類 H 新
加坡元 
AX 類美元、AX 類歐元、A2X 類美元、A2X 類歐元 
BX 類美元、BX 類歐元 
C 類美元、C2 類美元、C2 類歐元 
CX 類美元 
I 類美元、I 類歐元、I2 類美元、I2 類歐元 
IX 類美元、I2X 類美元 "
88,"#  Classes AX, A2X, BX, CX, IX and I2X Shares are no longer open for subscription by new investors, except to the existing ","美元計價股份類別 
A 類及 A2 類股份 
AT 類股份 
AA 類股份 
C 類及 C2 類股份 
EA 類股份 
I 類及 I2 類股份 
N2 類股份 
NT 類股份 
S 類股份 
S1 類股份 
SA 類股份 
AX 類及 A2X 類股份 
ATX 類股份 
BX 類股份 
CX 類及 C2X 類股份 
IX 類及 I2X 類股份 
S1X 類股份 
ZT 類股份 "
89,shareholders holding the relevant Class of Shares as more particularly described in the Prospectus.  ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
90,"*  All Classes B, B2 Shares and Class BT Shares (and corresponding H Shares) are no longer open for subscription by new 
and existing investors. However, investors may request the exchange of their holdings of Classes B, B2 Shares and Class 
BT  Shares  (and  corresponding  H  Shares)  for  the  same  share  class  of  another  AB-sponsored  Luxembourg-domiciled 
UCITS fund authorized in Hong Kong for retail distribution or otherwise available through an AB authorized dealer in Hong 
Kong. ","美元計價股份類別 
A 及 A2 類股份 
AT 類股份 
AK 類股份 
AA 類股份 
B 及 B2 類股份 
BT 類股份 
C 及 C2 類股份 
CK 類股份 
CT 類股份 
EA 類股份 
I、I2 及 IQD 類股份 
IT 類股份 
JA 類股份 
J 類股份 
N2 及 NT 類股份 
S 類股份 
S1 類股份 
SA 類股份 
S1D 類股份 
S1D2 類股份 
S1QD 類股份 
SK 類股份 
SHK 類股份 
W 類股份 
WT 類股份 
W2 類股份 "
91,"The Hong Kong Representative of the Fund (the “Hong Kong Representative”) is AllianceBernstein Hong Kong Limited of 
39th Floor, One Island East, Taikoo Place, 18 Westlands Road, Quarry Bay, Hong Kong (Tel: +852 2918 7888 and Fax: +852 
2918 0200).  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
92,"As disclosed in the section headed “Investment Management” in the Prospectus, the Investment Manager may sub-delegate 
certain discretionary investment management functions to entities within the AB Group, and such entities may, as the case 
may be, have investment discretion when implementing the investment strategy for a respective portfolio in conjunction with 
the Investment Manager.  ","本傘子基金由管理公司根據管理條例管理。本傘子基金的最初管
理條例於一九九一年八月二十一日訂立，在同年九月二十六日
Mémorial 上刊載。本傘子基金的最初設立名稱為「環球增長動力
基金（Alliance Global Growth Trends Portfolio）」。其後，管理
條例被修訂，本傘子基金於一九九二年七月二十二日採用新名稱「
Alliance Global Investments」及傘形架構。其後管理條例被修訂
﹐將本傘子基金名稱改為「ACM  環球投資」﹐此修訂於一九九七
年 一 月 一 日 生 效 ， 並 於 二 零 零 六 年 七 月 三 十 一 日 成 為 「
ACMBernstein」。此後，管理條例經過很多不同部分的修訂。管
理條例於二零一六年二月五日修訂，本傘子基金於當時易名為「
AB  FCP  I」。管理條例已於二零二一年七月五日最新修訂，此項
修訂已以公告形式公佈於 RESA，告知該文件已存檔於盧森堡商
業公司註冊處（Registre de Commerce et des Sociétés）。 "
93,"In this connection, the following entities are appointed as the Investment Manager’s delegate(s) (“Investment Manager’s 
Delegate(s)”) of the following Portfolios:  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
94,AllianceBernstein (Japan) Ltd. ,AllianceBernstein (Japan) Ltd. 
95,Japan Strategic Value Portfolio ,"•  AllianceBernstein  (Japan)  Ltd. ， 主 要 辦 事 處 位 於
Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-001, Japan "
96,AllianceBernstein (Singapore) Ltd.  ,AllianceBernstein (Singapore) Ltd. 
97,Emerging Markets Growth Portfolio ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
98,AllianceBernstein Hong Kong Limited and ,"管理公司已委任投資管理人 AllianceBernstein  L.P.為其於各基金的投資管理及顧問職能方面的委託人士。
投資管理人根據美國《1940 年投資顧問法》（經修訂）於美國證券交易委員會註冊為投資顧問。 "
99,AllianceBernstein Australia Limited ,AllianceBernstein Australia Limited  
100,"AllianceBernstein Hong Kong Limited,  ","聯博基金指使用「聯博」服務標識分銷，並由 AllianceBernstein L.P. 
及／或其聯屬公司保薦的任何集體投資企業 "
101,AllianceBernstein Australia Limited and ,AllianceBernstein Australia Limited  
102,AllianceBernstein (Singapore) Ltd. ,AllianceBernstein (Singapore) Ltd. 
103,AllianceBernstein Limited  ,AllianceBernstein Limited 
104,European Income Portfolio                     ,"本基金於一九九六年九月十六日設立，作為本傘子基金下的基
金。於該日之前，本基金資產乃由管理公司管理，作為 Alliance 
Worldwide Income Fund（「世界基金」）的一部分。世界基
金乃根據盧森堡大公國法律成立的互惠投資基金。一九九六年
九月十六日，世界基金的所有資產均轉讓予本基金，世界基金
的所有負債亦由本基金承擔。由二零一九年七月一日起，本基
金改名為短期債券基金。 "
105,Global Equity Blend Portfolio                 ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
106,- 6 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
107," 
 
 
 
 
 
 
 
 
 
AllianceBernstein Limited and ",AllianceBernstein Limited 
108,Emerging Markets Debt Portfolio ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
109,AllianceBernstein Hong Kong Limited ,"聯博基金指使用「聯博」服務標識分銷，並由 AllianceBernstein L.P. 
及／或其聯屬公司保薦的任何集體投資企業 "
110,AllianceBernstein (Japan) Ltd. ,AllianceBernstein (Japan) Ltd. 
111,"AllianceBernstein  (Japan)  Ltd.  whose  principal  office  is  situated  at  Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-0011, Japan is a company established in Japan on 28 October 1996 and is registered with 
the Financial Services Agency as a financial instruments business operator to provide (i) Type I financial instruments business; 
(ii)  Type  II  financial  instruments  business;  (iii)  investment  advisory  and  agency  business;  (iv)  investment  management 
business; and (v) securities – related business. ","•  AllianceBernstein  (Japan)  Ltd. ， 主 要 辦 事 處 位 於
Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-001, Japan "
112,AllianceBernstein (Singapore) Ltd. ,AllianceBernstein (Singapore) Ltd. 
113,"AllianceBernstein (Singapore) Ltd. whose principal office is situated at One Raffles Quay, #27-11 South Tower, Singapore 
048583 is a company established in Singapore on 17 May 1997. It is regulated by the Monetary Authority of Singapore and is 
licensed with a Capital Markets Service Licence under the Securities and Futures Act to conduct dealing in capital markets 
products and fund management regulated activities.  ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
114,AllianceBernstein Hong Kong Limited  ,"聯博基金指使用「聯博」服務標識分銷，並由 AllianceBernstein L.P. 
及／或其聯屬公司保薦的任何集體投資企業 "
115,"AllianceBernstein Hong Kong Limited is a limited liability company incorporated in Hong Kong and is currently licensed by the 
SFC to conduct Type 1 (dealing in securities), Type 2 (dealing in futures contracts), Type 4 (advising on securities), Type 5 
(advising on futures contracts) and Type 9 (asset management) regulated activities under the SFO with CE number ADX555. 
AllianceBernstein  Hong  Kong  Limited  is  part  of  AB  Group  and  AB  Group  provides  research,  diversified  investment 
management and related services globally to a broad range of clients including institutional clients, retail clients and private 
clients. ","管理公司 
AllianceBernstein  (Luxembourg)  S.à  r.l.（前稱為 AllianceB 
ernstein (Luxembourg) S.A.，其主要股東為投資管理人的全資
附屬公司 AllianceBernstein  Holdings  Limited）乃遵照盧森堡
大公國法律按照一九九零年七月三十一日簽發，並於一九九零
年十一月九日 Mémorial 刊發的一份公證契據成立的股份有限
公司。該公司無限期存續，其註冊及主要辦事處位於 2-4,rue 
Eugène Ruppert, L-2453, Luxembourg。自二零一一年四月十
一日起，AllianceBernstein (Luxembourg) S.A.的公司形式已由
“société  anonyme” （ 股 份 有 限 公 司 ） 改 為 “société  à 
responsabilité  limitée”（私人有限公司）。因此，其名稱由
AllianceBernstein  (Luxembourg)  S.A.改為 AllianceBernstein 
(Luxembourg) S.à r.l.。 "
116,AllianceBernstein Australia Limited  ,AllianceBernstein Australia Limited  
117,"AllianceBernstein Australia Limited, whose principal office is situated at Level 32, Aurora Place, 88 Phillip Street, Sydney, 
NSW  2000,  is  a  company  established  in  Australia  on  9  November  2000.  It  is  regulated  by  the  Australian  Securities  and 
Investments Commission and is licensed with an Australian Financial Services Licence (“AFS Licence”) to, amongst other 
things, carry on a financial services business to provide general financial product advice and deal in financial products to retail 
investors.  Under  the  terms  of  its  AFS  Licence,  AllianceBernstein  Australia  Limited  may  provide  discretionary  investment 
management  services  to  wholesale  clients  including  responsible  entities  (operators)  of  registered  managed  investment 
schemes (publicly offered investment products / collective investment vehicles), private funds and superannuation (pension) 
funds,  meaning  that  the  AFS  Licence  enables  AllianceBernstein  Australia  Limited  to  manage  the  investment  portfolios  of 
registered managed investment schemes. ","AllianceBernstein Australia  Limited的主要辦事處位於Level  32, Aurora  Place,  88  Phillip  Street,  Sydney, 
NSW  2000，是一間於2000年11月9日在澳洲成立的公司，受澳洲證券及投資監察委員會（Australian 
Securities  and  Investments  Commission）規管，並獲授澳洲金融服務牌照（「澳洲金融服務牌照」）從事
（其中包括）金融服務業務以向零售投資者提供一般金融產品意見及進行金融產品交易。根據澳洲金融服
務牌照的條款，AllianceBernstein Australia  Limited可向批發客戶（包括註冊管理投資計劃（公開發售投
資產品／集體投資工具）、私募基金及退休金（養老金）基金的負責實體（營運機構））提供全權委託投
資管理服務，這意味著澳洲金融服務牌照令AllianceBernstein Australia  Limited能夠管理註冊管理投資計
劃的投資基金。 "
118,AllianceBernstein Limited ,AllianceBernstein Limited 
119,"AllianceBernstein  Limited  whose  principal  office  is  situated  at  60  London  Wall,  London,  EC2M  5SJ,  United  Kingdom  is  a 
company established in the United Kingdom on 23 October 1990 and is registered with the Financial Conduct Authority to, 
amongst  other  things,  advice  on  investments,  carry  on  a  regulated  activity,  bring  about  deals  in  investments,  deal  in 
investments as agent and manage investments. ","AllianceBernstein Limited 的主要辦事處位於 60 London Wall, London, EC2M 5SJ, United Kingdom，於
1990 年 10 月 23 日在英國成立，並於英國金融行為監管局（Financial  Conduct Authority）註冊，以（其
中包括）提供投資意見、進行受監管活動、促成投資交易、作為代理人進行投資交易及管理投資。 "
120,"The Investment Manager shall continue to have ongoing supervision and regular monitoring of the competence of its delegates 
to ensure that its accountability to investors is not diminished. Although the investment management function of the Investment 
Manager may be delegated to the Investment Manager’s Delegates, its responsibilities and obligations may not be delegated. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
121,"Securities Lending Transactions: The Fund may enter into securities lending transactions. The Fund, however, will not enter 
into such transactions with the affiliates of the Management Company or the Investment Manager. No securities lending ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
122,- 7 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
123," 
 
 
 
 
agent will be an affiliate of the Management Company or the Investment Manager. All incremental income generated from 
such transactions will be accrued to the relevant Portfolios of the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
124,"No  securities  lending  may  be  made  for  more  than  50%  of  the  value  of  the  securities  of  the  relevant  Portfolio  and  the 
Investment Manager may choose to terminate any securities lending transaction at any time.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
125,"Repurchase/Reverse  Repurchase  Agreements  or  Similar  Over  the  Counter  Transactions:  The  Fund  may  enter  into 
repurchase/reverse repurchase agreements or similar over-the-counter transactions. The Fund, however, will not enter into 
repurchase/reverse repurchase agreements or similar over-the-counter transactions with the affiliates of the Management 
Company or the Investment Manager. All repurchase/reverse repurchase agreement transactions entered into by the Fund 
are  collateralized  with  OECD  member  state  government  securities  with  value  at  least  equal  to  the  cash  received 
from/delivered to the counterparty.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
126,"Taking into account factors including the types of transactions, exposure, concentration to a particular counterparty 
and  credit  rating,  the  Investment  Manager  conducts  initial  and  on-going  counterparty  reviews  with  a  view  to 
evaluating the creditworthiness of its proposed and existing counterparties. The Investment Manager maintains a 
list of approved counterparties which provides the names of the entities and the types of transactions for which 
each entity has been approved.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
